;tramo;tipo_tramo;punto_idx;punto_id;x_cm;y_cm;z_cm;dist_seg_cm;dist_acum_m;diametro_m_excel;escenario_marea
85;B-C;cerrado;63;Punto 63;-9793,3;966,1999999999999;117,1;171,3302658609975;518,7086335850278;0,2086;Base
86;C-D;abierto;1;Punto 1;-9509,5;908,0;235,2;0,0;0,0;0,2086;Base
87;C-D;abierto;2;Punto 2;-9438,5;874,1;278,9;89,99944444272974;0,8999944444272974;0,2086;Base
88;C-D;abierto;3;Punto 3;-9447,6;825,6999999999999;399,3;130,0827813355789;2,200822257783086;0,2086;Base
89;C-D;abierto;4;Punto 4;-9591,2;783,1;614,3;262,031906454157;4,821141322324656;0,2086;Base
90;C-D;abierto;5;Punto 5;-9619,8;772,1999999999999;719,3;109,3698770228801;5,914840092553456;0,2086;Base
91;C-D;abierto;6;Punto 6;-9536,5;761,3;789,3;109,3512688540918;7,008352781094374;0,2086;Base
92;C-D;abierto;7;Punto 7;-9438,0;750,5;743,0;109,373579990782;8,102088581002194;0,2086;Base
93;C-D;abierto;8;Punto 8;-9438,7;739,6;634,2;109,3468792421621;9,195557373423815;0,2086;Base
94;C-D;abierto;9;Punto 9;-9540,1;728,5;589,6;111,3298252940331;10,30885562636415;0,2086;Base
95;C-D;abierto;10;Punto 10;-9620,8;717,6;662,6;109,3631565016291;11,40248719138044;0,2086;Base
96;C-D;abierto;11;Punto 11;-9588,4;706,8;766,5;109,3691455576022;12,49617864695646;0,2086;Base
97;C-D;abierto;12;Punto 12;-9480,4;695,9;780,6;109,4605865140508;13,59078451209697;0,2086;Base
98;C-D;abierto;13;Punto 13;-9422,4;685,0;688,5;109,3856480531153;14,68464099262812;0,2086;Base
99;C-D;abierto;14;Punto 14;-9483,8;673,9;596,3;111,328388113724;15,79792487376536;0,2086;Base
100;C-D;abierto;15;Punto 15;-9591,2;663,1;614,3;109,4321707725855;16,89224658149121;0,2086;Base
101;C-D;abierto;16;Punto 16;-9619,8;652,1999999999999;719,3;109,3698770228801;17,98594535172002;0,2086;Base
102;C-D;abierto;17;Punto 17;-9536,5;641,3;789,3;109,3512688540918;19,07945804026093;0,2086;Base
103;C-D;abierto;18;Punto 18;-9438,0;630,5;743,0;109,373579990782;20,17319384016875;0,2086;Base
104;C-D;abierto;19;Punto 19;-9438,7;619,6;634,2;109,3468792421621;21,26666263259037;0,2086;Base
105;C-D;abierto;20;Punto 20;-9540,1;608,5;589,6;111,3298252940331;22,37996088553071;0,2086;Base
106;C-D;abierto;21;Punto 21;-9620,8;597,6;662,6;109,3631565016291;23,473592450547;0,2086;Base
107;C-D;abierto;22;Punto 22;-9588,4;586,8;766,5;109,3691455576022;24,56728390612302;0,2086;Base
108;C-D;abierto;23;Punto 23;-9480,4;575,9;780,6;109,4605865140508;25,66188977126353;0,2086;Base
109;C-D;abierto;24;Punto 24;-9422,4;565,0;688,5;109,3856480531153;26,75574625179468;0,2086;Base
110;C-D;abierto;25;Punto 25;-9483,8;553,9;596,3;111,328388113724;27,86903013293192;0,2086;Base
111;C-D;abierto;26;Punto 26;-9591,2;543,1;614,3;109,4321707725855;28,96335184065777;0,2086;Base
112;C-D;abierto;27;Punto 27;-9619,8;532,1999999999999;719,3;109,3698770228801;30,05705061088657;0,2086;Base
113;C-D;abierto;28;Punto 28;-9536,5;521,3;789,3;109,3512688540918;31,15056329942749;0,2086;Base
114;C-D;abierto;29;Punto 29;-9438,0;510,5;743,0;109,373579990782;32,24429909933531;0,2086;Base
115;C-D;abierto;30;Punto 30;-9438,7;499,6;634,2;109,3468792421621;33,33776789175694;0,2086;Base
116;C-D;abierto;31;Punto 31;-9540,1;488,5;589,6;111,3298252940331;34,45106614469727;0,2086;Base
117;C-D;abierto;32;Punto 32;-9620,8;477,6;662,6;109,3631565016291;35,54469770971356;0,2086;Base
118;C-D;abierto;33;Punto 33;-9588,4;466,8;766,5;109,3691455576022;36,63838916528958;0,2086;Base
119;C-D;abierto;34;Punto 34;-9480,4;455,9;780,6;109,4605865140508;37,73299503043009;0,2086;Base
120;C-D;abierto;35;Punto 35;-9422,4;445,0;688,5;109,3856480531153;38,82685151096124;0,2086;Base
121;C-D;abierto;36;Punto 36;-9494,4;428,2;522,5;181,7202245211028;40,64405375617227;0,2086;Base
122;C-D;abierto;37;Punto 37;-9565,9;404,6;490,1;81,96932353020854;41,46374699147435;0,2086;Base
123;C-D;abierto;38;Punto 38;-9626,1;383,1;524,9;72,78275894743263;42,19157458094868;0,2086;Base
124;C-D;abierto;39;Punto 39;-9633,9;374,2;590,4;66,56049879620787;42,85717956891075;0,2086;Base
125;C-D;abierto;40;Punto 40;-9596,9;370,1;640,1;62,09589358403666;43,47813850475112;0,2086;Base
126;D-E;cerrado;1;Punto 1;-9624,9;365,4;636,8;0,0;0,0;0,2086;Base
127;D-E;cerrado;2;Punto 2;-9624,9;-54,59999999999999;636,8;420,0;4,2;0,2086;Base
